S	s	SO	Sq	St	ponderate_RMSD	seqId	combination
292	32.34	33.52	33.52	31.23	1.91	14.73	[(4, 6), (13, 3), (16, 4), (20, 4), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch_icp']
285	31.56	32.72	32.72	30.48	2.01	14.74	[(4, 6), (13, 3), (16, 8), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
283	31.34	32.49	32.49	30.27	1.98	14.13	[(4, 6), (13, 4), (17, 3), (20, 4), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
282	31.23	32.38	32.38	30.16	1.94	12.77	[(4, 5), (9, 4), (13, 3), (17, 3), (20, 4), (25, 4)]	['kabsch', 'kabsch', 'kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
282	31.23	32.38	32.38	30.16	1.92	13.48	[(4, 5), (9, 3), (13, 3), (17, 3), (20, 4), (25, 4)]	['kabsch', 'kabsch', 'kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
281	31.12	32.26	32.26	30.05	2.07	13.88	[(4, 6), (10, 3), (14, 10), (24, 5)]	['kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
278	30.79	31.92	31.92	29.73	2.07	14.75	[(4, 6), (13, 4), (18, 6), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
276	30.56	31.69	31.69	29.52	2.05	15.22	[(4, 6), (13, 3), (16, 9), (25, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
273	30.23	31.34	31.34	29.20	2.03	16.48	[(4, 6), (13, 4), (17, 7), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
269	29.79	30.88	30.88	28.77	1.92	14.87	[(4, 9), (14, 10), (24, 5), (35, 3)]	['kabsch_icp', 'kabsch', 'kabsch_icp', 'kabsch_icp']
269	29.79	30.88	30.88	28.77	1.92	13.75	[(4, 6), (13, 3), (17, 3), (20, 4), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
269	29.79	30.88	30.88	28.77	1.95	14.87	[(4, 6), (13, 4), (17, 6), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
268	29.68	30.77	30.77	28.66	1.87	15.67	[(4, 6), (13, 3), (16, 5), (21, 3), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch_icp']
265	29.35	30.42	30.42	28.34	1.97	14.72	[(4, 8), (14, 10), (24, 5)]	['kabsch_icp', 'kabsch', 'kabsch_icp']
265	29.35	30.42	30.42	28.34	2.10	15.47	[(4, 6), (13, 4), (17, 8), (25, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch_icp']
264	29.24	30.31	30.31	28.24	1.94	13.26	[(4, 3), (7, 5), (13, 3), (17, 3), (20, 4), (25, 4)]	['kabsch', 'kabsch', 'kabsch_icp', 'kabsch', 'kabsch', 'kabsch_icp']
262	29.01	30.08	30.08	28.02	2.08	16.79	[(4, 6), (13, 10), (23, 6)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp']
260	28.79	29.85	29.85	27.81	2.13	15.77	[(4, 6), (13, 7), (20, 9)]	['kabsch_icp', 'kabsch_icp', 'kabsch']
258	28.57	29.62	29.62	27.59	1.94	15.12	[(4, 9), (14, 10), (24, 5)]	['kabsch_icp', 'kabsch', 'kabsch_icp']
256	28.35	29.39	29.39	27.38	1.80	15.23	[(4, 6), (13, 3), (16, 7), (24, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
254	28.13	29.16	29.16	27.17	1.94	14.96	[(4, 7), (14, 10), (24, 5)]	['kabsch', 'kabsch', 'kabsch_icp']
252	27.91	28.93	28.93	26.95	2.10	15.48	[(4, 6), (13, 3), (16, 10), (26, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch']
251	27.80	28.82	28.82	26.84	2.02	15.14	[(5, 8), (14, 10), (24, 5)]	['kabsch_icp', 'kabsch', 'kabsch_icp']
250	27.69	28.70	28.70	26.74	2.14	16.40	[(4, 6), (13, 4), (17, 9), (26, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch']
247	27.35	28.36	28.36	26.42	2.00	14.57	[(4, 6), (13, 9), (22, 7)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp']
